titulo,ano_lancamento,generos,rating,num_avaliacoes,imagem,descricao,metadata
A moreninha,1993,"['Portuguese language', 'Readers for new literates']",,0,https://covers.openlibrary.org/b/id/13878791-L.jpg,"Como se manter fiel ao juramento de amor feito no passado, diante de uma nova e ardorosa paixão? É o que se pergunta Augusto ao conhecer Carolina, a Moreninha. Esta divertida história de amor retrata com perspicácia a sociedade do Rio de Janeiro do Segundo Reinado.","{'autor': 'Joaquim Manuel de Macedo', 'isbn': '8508043104', 'editora': 'Editora Atica'}"
"Moreninha, A",,[],,0,,"Como se manter fiel ao juramento de amor feito no passado, diante de uma nova e ardorosa paixão? É o que se pergunta Augusto ao conhecer Carolina, a Moreninha. Esta divertida história de amor retrata com perspicácia a sociedade do Rio de Janeiro do Segundo Reinado.","{'autor': 'Desconhecido', 'isbn': '8589155129', 'editora': 'Desconhecida'}"
Agua Para Elefantes - Water for Elephants (Book in Potuguese),2007,[],,0,,"Desde que perdeu sua esposa, Jacob Jankowski vive numa casa de repouso, cercado por senhoras simpáticas, enfermeiras solícitas e fantasmas do passado. Por 70 anos Jacob guardou um segredo. Ele nunca falou a ninguém sobre os anos de sua juventude em que trabalhou no circo. Até agora. Aos 23 anos, Jacob era um estudante de veterinária. Mas sua sorte muda quando seus pais morrem num acidente de carro. Órfão, sem dinheiro e sem ter para onde ir, ele deixa a faculdade antes de prestar os exames finais e acaba pulando em um trem em movimento - o Esquadrão Voador do circo Irmãos Benzini, o Maior Espetáculo da Terra. Admitido para cuidar dos animais, Jacob sofrerá nas mãos do Tio Al, o empresário tirano do circo, e de August, o ora encantador, ora intratável chefe do setor dos animais. É também sob as lonas dos Irmãos Benzini que Jacob vai se apaixonar duas vezes: primeiro por Marlena, a bela estrela do número dos cavalos e esposa de August, e depois por Rosie, a elefanta aparentemente estúpida que deveria ser a salvação do circo. ""Água para Elefantes"" é tão envolvente que seus personagens continuam vivos muito depois de termos virado a última página. Sara Gruen nos transporta a um mundo misterioso e encantador, construído com tamanha riqueza de detalhes que é quase possível respirar sua atmosfera.","{'autor': 'Sara Gruen', 'isbn': '9788599296158', 'editora': 'Arqueiro'}"
Travessia,2007,"['Biography', 'Singers', 'Composers', 'Musicians']",,0,,"Elis Regina dizia que se Deus cantasse, cantaria com a voz de Milton Nascimento. Reconhecido dentro e fora do Brasil como um dos mais importantes nomes da MPB, Milton é dono, ainda, de uma das histórias mais comoventes do show bizz. Nascido no Rio de janeiro, então ainda capital da República, filho de uma empregada doméstica, foi adotado por um casal que se tornou fundamental para seu relacionamento com a música. A mãe adotiva era dona de casa e o pai, professor. Em Travessia: a Vida de Milton Nascimento, a jornalista mineira Maria Dolores conta a vida de Bituca - apelido do cantor - desde o seu nascimento no Rio de Janeiro, passando pela cidade de Três Pontas, em Minas Gerais, onde foi adotado, até os dias em que alcançou o reconhecimento artístico. O texto de Maria Dolores - que pode ser lido como um romance, de tão envolvente - é a base de uma belíssima biografia, repleta de dramas e superações. Maria Dolores acompanha tanto a trajetória pessoal como a profissional. Aqui se desvela o Milton intérprete, o Milton compositor e o Milton cidadão. Maria fala dos discos consagrados por público e crítica, dos inúmeros shows pelo Brasil e pelo mundo e das parcerias com músicos como Wayne Shorter, Pat Metheny, Peter Gabriel, Gal Costa, Caetano Veloso, Gilberto Gil e Elis Regina. Travessia: a Vida de Milton Nascimento é, principalmente, um tributo à música de Milton Nacimento. Definida por ele mesmo como um sincretimo de estilos, onde mistura jazz, blues, rock e música latina, e temas, como sua terra, Minas Gerais, a negritude e o cristianismo.","{'autor': 'Maria Dolores.', 'isbn': '8501076430', 'editora': 'Record'}"
Os miseráveis,2007,[],,0,https://covers.openlibrary.org/b/id/12951309-L.jpg,"Jean Valjean é condenado a trabalhos forçados por ter roubado um pão em um dia em que os filhos de sua irmã tinham fome.Libertado 19 anos depois, adota outra identidade e transforma-se em um próspero empresário.Perseguido pelo inspetor Javert, é preso,mas consegue escapar.Resgata a pequena Cosette das mãos do terrível casal Thénardier, e vai morar com ela em um convento em Paris.Anos mais tarde, explodem conflitos políticos nas ruas da cidade.A Revolução Francesa.","{'autor': 'Victor Hugo', 'isbn': '9788572327237', 'editora': 'Martin Claret'}"
"Miseráveis, Os",,[],,0,,"Edição comemorativa do bicentenário de Victor Hugo (1802-1885), em tradução inteiramente revista e adequada à leitura contemporânea. Esse tratamento e a edição com 816 notas de pé de página, elucidativas do contexto histórico e cultural da França no século XIX, fazem desta a versão definitiva da obra em português. Hugo narrou seu romance magistral numa linguagem que representou para a literatura ""o mesmo que a Revolução Francesa na História"", segundo o crítico Sérgio Paulo Rouanet. O fio condutor é o personagem de Jean Valjean, que, por roubar um pão para alimentar a família, é preso e passa dezenove anos encarcerado. Solto, mas repudiado socialmente, é acolhido por um bispo. O encontro transforma radicalmente sua vida e, após mudar de nome, Valjean prospera como negociante de vidrilhos, até que novos acontecimentos o reconduzem ao calabouço.","{'autor': 'Desconhecido', 'isbn': '9788575031568', 'editora': 'Desconhecida'}"
O adolescente por ele mesmo,1996,"['Teenagers', 'Social conditions', 'Attitudes', 'Social surveys']",,0,,"Como o jovem Brasileiro vê a família,a escola, o lazer, a política, a profissão, o sexo, as drogas e a religião.","{'autor': 'Tania Zagury', 'isbn': '8501044245', 'editora': 'Editora Record'}"
Memórias de um rato de hotel,2000,[],,0,,"""Em uma dessas buscas peguei um livro com uma capa muito feia, mas com um título que me chamava a atenção: MEMÓRIAS DE UM RATO DE HOTEL - de autoria de um Dr. Antônio; o nome do autor não me interessava mas o título era curioso, porque então não sabia o que significava ""rato de hotel"". Na capa, uma assinatura/rabisco que me pareceu ser de Francisco Prisco, e logo a seguir uma página de papel diferente em que li, surpreso: ""O autor deste livro é João do Rio""…"" (Plinio Doyle) Dr. Antonio foi um célebre ladrão da Belle Époque que ficou famoso por seus roubos inteligentes em diversos hotéis, onde se hospedava com identidades diferentes. O verdadeiro nome do Dr. Antonio era Arthur Antunes Maciel, gaúcho de família respeitável levado ao crime por um destino atroz: não resistir à vida fácil e ao amor das mulheres. Suas histórias são picarescas e dotadas de muita esperteza. É um relato de extrema sinceridade, narrado por ele mesmo, quando estava preso na Casa de Correção, um ano antes de sua morte, aos 43 anos. Dr. Antonio viajou por todo o Brasil. Há casos em hotéis de Petrópolis, Rio de Janeiro, São Paulo, Recife, Bahia, Santos, Londrina, etc.","{'autor': 'Dr. Antônio', 'isbn': '8586488100', 'editora': 'Dantes Livraria Editora'}"
Ben-Hur,2003,[],,0,,"[Império Romano] Na Jerusalém do Século I, Judah Ben-Hur, um nobre e rico comerciante judeu, aguardava ansioso a chegada do romano Messala, antigo amigo de infância que fora criado na Judéia. Agora, um importante oficial das legiões de Roma na Província. Contudo, um grave desentendimento e visões políticas antagônicas e divergentes - entre Judah e Messala - fariam com que este condenasse o ex-amigo a morrer como escravo nas galeras romanas; mesmo sabendo da sua inocência dos crimes e ofensas levantadas contra ele. Porém, o destino daria a Ben-Hur uma oportunidade de vingança e retribuição que ninguém poderia imaginar. . .","{'autor': 'Desconhecido', 'isbn': '8526246577', 'editora': 'Scipione'}"
Cassino Royale,2006,"['British', 'Fiction', 'Fiction in English', 'Intelligence officers', 'Secret service']",,0,https://covers.openlibrary.org/b/id/13285593-L.jpg,"Escrito originalmente em 1953, ""Cassino Royale"" foi o primeiro livro de Ian Fleming contando as aventuras de James Bond. O romance revela detalhes do homem e do universo de 007. Aqui, Bond está em uma missão para neutralizar um agente russo extremamente perigoso, conhecido como Le Chiffre. Bond tem de derrotar o espião russo na mesa de bacará para forçar seus mestres soviéticos a ""aposentá-lo"". Ao que parece, a sorte sorri para Bond. No entanto, algumas pessoas não sabem perder. Sem falar que a atração de 007 pela belíssima e misteriosa agente Vesper Lynd pode levá-lo ao completo desastre e finalmente à salvação pelas mãos de um inesperado benfeitor.","{'autor': 'Ian Fleming', 'isbn': '8501077755', 'editora': 'Record'}"
Férias!,2003,[],,0,,"Rachel Walsh tem 27 anos e a grande mágoa de calçar 40. Ela namora Luke Costello, um homem que usa calças de couro justas. E é amiga - pode-se mesmo dizer muy amiga - de drogas. Até que a sua vida vai para o Claustro - a versão irlandesa da Clínica Betty Ford. Ela fica uma fera. Afinal, não é magra o bastante para ser uma toxicômana, certo? Mas, olhando para o lado positivo das coisas, esses centros de reabilitação são cheios de banheiras de hidromassagem, academia e artistas semifissurados (ao menos ela assim ouviu dizer). De mais a mais, bem que já está mesmo na hora de tirar umas feriazinhas. Rachel encontra mais homens de meia-idade usando suéteres marrons e sessões de terapia em grupo do que poderia supor a sua vã filosofia. E o pior é que parecem esperar que ela entre no esquema! Mas quem quer abrir as janelas da alma, quando a vista está longe de ser espetacular? Cheia de dor-de-cotovelo (o nome do cotovelo é Luke), ela busca salvação em Chris, um Homem com um Passado. Um homem que pode dar mais trabalho do que vale... Rachel é levada da dependência química para o terreno desconhecido da maturidade, passando por uma ou duas histórias de amor, neste romance que é, a um tempo, comovente, forte e muito, muito engraçado.","{'autor': 'Desconhecido', 'isbn': '9788528610055', 'editora': 'Bertrand Brasil'}"
"Inocente, O",2006,"['Judicial error', 'Trials, litigation', 'Trials (Murder)', 'True Crime', 'Capital punishment']",,0,https://covers.openlibrary.org/b/id/11720155-L.jpg,"Em 1971, Ron Williamson era o melhor jogador de beisebol de Oklahoma. Com personalidade forte e um talento inato para os esportes, Williamson estava em ascensão. Ao mesmo tempo em que ganhava notoriedade por belas jogadas, ficava famoso por beber demais, usar drogas e envolver-se com muitas mulheres. O comportamento, junto com um braço lesionado, acabou lhe custando a carreira. Quando voltou para sua cidade natal, Williamson havia perdido tudo. Da vida glamourosa, restavam apenas as bebedeiras, que acentuavam o comportamento maníaco-depressivo do ex-jogador. Esse círculo vicioso foi interrompido em 1982, quando um assassinato ocorreu em Ada, sua cidade-natal. A garçonete Debbie Carter foi encontrada morta. Três meses mais tarde, por razões que nem a própria polícia podia confirmar, Ron Williamson e seu amigo Dennis Fritz haviam se tornado os principais suspeitos do crime. A prisão ocorreu anos depois e um julgamento equivocado, com testemunhas que não tinham nada a dizer e delatores de dentro da própria cadeia, levou Williamson ao corredor da morte. Fritz foi condenado à prisão perpétua. Enquanto eram realizadas as investigações do caso, outra jovem, a estudante Denice Haraway desaparece. Pouco mais de um ano após o desaparecimento de Denice, novamente com a ajuda de delatores e com a produção de dois depoimentos arrancados à força dos suspeitos, o tribunal de Ada mandava mais dois homens para o corredor da morte. Neste livro, Grisham narra com detalhes os episódios ocorridos ao longo de duas décadas. O autor relata as formas de investigação empregadas pelos policiais e o tratamento dispensado aos condenados à pena de morte no estado de Oklahoma. No prólogo, mostra o quanto o Estado perde com processos indevidos.","{'autor': 'John Grisham', 'isbn': '8532521223', 'editora': 'Rocco'}"
O mundo é bárbaro,2008,['Brazilian wit and humor'],,0,,"Passados 508 anos, o ser-humano parece inviável, segue ateando fogo à Terra e nada indica que um superbombeiro se aproxima para a apagar o incêndio. Do meio ambiente à política, passando pela economia e pelo comportamento bárbaro das pessoas no dia-a-dia, sobram argumentos para os pessimistas. Mas nem tudo está perdido. O planeta é habitado pelo humor de Luis Fernando Verissimo e sua salvação está nas crônicas reunidas no livro O mundo é bárbaro. Escolhidas num universo de 500 textos, entre os melhores que o autor escreveu nos últimos oito anos, elas discutem a ascensão chinesa, a guerra contra o terror, a candidatura de Barack Obama à presidência dos Estados Unidos e o passado e o futuro do Brasil e da América Latina. Simultaneamente, fazem um raio x acurado do comportamento do homem contemporâneo. ""Esses assuntos, por mais díspares que sejam, quase sempre convergem para uma crítica aguda desta época globalizada. Nesse sentido Verissimo é um cronista da História e da memória, e também um mestre da crítica social e política"", observa o escritor Milton Hatoum. Em O mundo é bárbaro, destaca-se o talento único de Verissimo para casar assuntos que dizem respeito a toda a humanidade com outros tirados da banalidade cotidiana, sempre com os textos curtos e o olhar crítico aguçado que o tornou referência tanto para o leitor comum quanto para escritores e jornalistas de renome. ""Verissimo modernizou a crônica nacional assimilando - como Machado assimilara na ficção - a influência da literatura de língua inglesa, especialmente a de humor. Mesclando crônica e artigo, relato pessoal e análise jornalística, e sem cair nos destemperos explícitos de outros praticantes da modalidade, Verissimo renovou a crônica"", analisa o crítico literário Daniel Piza. Para o romancista Carlos Heitor Cony, ""Verissimo mergulha nas raízes de sua formação cultural, não se derrama no lirismo poético nem no humorismo datado. É um pensador que vai fundo na contemplação e análise da vida pessoal e coletiva de todos nós - ao mesmo tempo nos condena e perdoa"". O jornalista e biógrafo Ruy Castro ressalta outra grande qualidade das crônicas de Verissimo: a capacidade de, reunidas em livro, provocarem o mesmo prazer de sua leitura nos jornais do dia-a-dia. ""Muitos cronistas parecem formidáveis quando lidos dia sim, dia não, ou uma vez por semana. Mas basta reunir essas crônicas em livro para se descobrir que eles passaram anos escrevendo a mesma crônica. Com Verissimo, isso não acontece, porque o leque de interesses com que ele nos abana diariamente pela imprensa é vasto, colorido, variado. Apenas sua visão é única.""","{'autor': 'Luis Fernando Verissimo', 'isbn': '9788573029130', 'editora': 'Objetiva'}"
Festa de Halloween,2002,"['Halloween', 'Fiction', 'Parties', 'Horror stories', 'Halloween in fiction']",,0,,"Um envelope tarjado de negro. Dentro aparecia um caixão onde estava escrito ´Reservado para você´. Alguns alunos da Universidade de Salém receberam o convite. Ficaram surpresos, é verdade. Quase assustados, até. Parecia muito sinistro. Mas logo concluíram que não podia ser diferente. Acabaram concordando, inclusive, que era absolutamente perfeito para uma festa das bruxas na mansão Cameron, abandonada há anos. Justine, a nova moradora, era a anfitriã. Alta, linda, corpo perfeito, olhos verde-jade, ninguém conseguira conhecê-la bem. Parecia distante, inatingível. Talvez por isso o espanto da turma com a notícia da festa. A lista também permanecia um enigma para todos, pois reunia um grupo que não combinava em nada. Terry e a namorada, Niki, por exemplo, não conseguiam entender por que tinham sido convidados. Mal conheciam Justine Cameron, a misteriosa aluna transferida de outro colégio. Mesmo assim, resolveram ir. E viveram uma noite maravilhosa, cinematográfica. Uma superprodução com direito a teias de aranha, esqueletos de papelão, bruxas e morcegos voando, um enorme caldeirão soltando bolhas de fumaça verde, o caixão negro e brilhante servindo como mesa para o bufê. Comida, música, luzes, surpresas, jogos. Justine tinha pensado em todos os detalhes. No auge da animação as luzes se apagaram. Nada a estranhar em se tratando de uma comemoração de Halloween. Mas quando a energia voltou, lá estava aquele corpo no chão. Seria apenas uma brincadeira? Então, por que Niki não conseguia relaxar? Quando finalmente perceberam que não tinha nada de engraçado, ela e o namorado viveram momentos de puro terror.","{'autor': 'Robert Lawrence Stine', 'isbn': '8532514502', 'editora': 'Rocco'}"
Beijo Mortal,2002,[],,0,,"Delia e Karina sempre disputaram tudo. Notas, roupas, amigos, prestígio. Portanto, era natural que brigassem também pelo mesmo namorado. Agora as duas queriam Vincent, bonito, sedutor e um dos alunos mais populares do Colégio Shadyside. Karina estava resolvida a ganhar de qualquer jeito. E se não ganhasse, seria capaz de qualquer coisa para que ele não fosse de mais ninguém.","{'autor': 'Desconhecido', 'isbn': '8532514847', 'editora': 'Rocco'}"
Admirador Secreto,,[],,0,,"Bonita e talentosa, Selena era a estrela do grupo de teatro formado pelos alunos de Shadyside. Protagonista de todos os espetáculos montados pela escola, já estava acostumada a ser reverenciada e elogiada por todos. Nascera para ser atriz. Adorava estar no palco, ouvir o som dos aplausos, experimentar emoções diferentes. Um sentimento tão intenso que Selena esquecia completamente dela mesma. Textos para decorar, ensaios, a perspectiva de interpretar a Julieta de Shakespeare. Eram vinte e quatro horas por dia de envolvimento com o teatro. Talvez por isso nem tenha se dado conta do tamanho da ameaça que pairava no ar. Até porque os buquês de flores murchas, os bilhetes, os presentes e as ameaças podiam ser apenas uma brincadeira de mau gosto. Mas a vida de Selena estava correndo perigo. O maníaco, que insistia em persegui-la e que se dizia seu admirador, também era um assassino cruel. E isso não tinha nada a ver com ficção.","{'autor': 'Desconhecido', 'isbn': '8532513867', 'editora': 'Desconhecida'}"
O sumiço da santa,1999,"['Festivals', 'Fiction', 'Saints', 'Romance brasileiro']",,0,,"""O sumiço da santa"" conta a divertida história da visita de Santa Bárbara, a do Trovão, à cidade de Salvador. Yansã no candomblé, ela se mistura ao povo e interfere nas vidas de duas de suas filhas, Adalgisa e Manela.","{'autor': 'Jorge Leal Amado de Faria', 'isbn': '8501056952', 'editora': 'Editora Record'}"
"Fio a Fio - Tecidos, Moda e Linguagem",2006,[],,0,,"É um livro repleto de informações sobre os tecidos. Suas histórias e origens, seus processamentos técnicos, seus usos e costumes, o fascínio ou a surpresa de identificar uma textura, são pontuações importantes deste livro. O lado prático costura estética com comportamento e passa noções da arte de escolher tecidos diante de tendências profissionais ou desejos pessoais. Há indicações de quais os tecidos, cores e estampas eram utilizados em cada século da História da Moda. E muitos metros a mais. Uma viagem sobre o universo têxtil, guiada por Gilda Chataignier, uma jornalista que possui o tecido em seu DNA.","{'autor': 'Desconhecido', 'isbn': '8560166009', 'editora': 'Estacao das Letras'}"
Fora de série - Outliers,2011,"['Psychology', 'Business', 'Successful people', 'Success', 'Nonfiction']",,0,https://covers.openlibrary.org/b/id/15120820-L.jpg,"O que torna algumas pessoas capazes de atingir um sucesso tão extraordinário e peculiar a ponto de serem chamadas de ""fora de série""? Costumamos acreditar que trajetórias excepcionais, como a dos gênios que revolucionam o mundo dos negócios, das artes, das ciências e dos esportes, devem-se unicamente ao talento. Mas neste livro você verá que o universo das personalidades brilhantes esconde uma lógica muito mais fascinante e complexa do que aparenta. Baseando-se na história de celebridades como Bill Gates, os Beatles e Mozart, Malcolm Gladwell mostra que ninguém ?se faz sozinho?. Todos os que se destacam por uma atuação fenomenal são, invariavelmente, pessoas que se beneficiaram de oportunidades incríveis, vantagens ocultas e heranças culturais. Tiveram a chance de aprender, trabalhar duro e interagir com o mundo de uma forma singular. Esses são os indivíduos fora de série - os outliers. Para Gladwell, mais importante do que entender como são essas pessoas é saber qual é sua cultura, a época em que nasceram, quem são seus amigos, sua família e o local de origem de seus antepassados, pois tudo isso exerce um impacto fundamental no padrão de qualidade das realizações humanas. E ele menciona a história de sua própria família como exemplo. Além disso, para se alcançar o nível de excelência em qualquer atividade são necessárias nada menos do que 10 mil horas de prática - o equivalente a três horas por dia (ou 20 horas por semana) de treinamento durante 10 anos. Aqui você saberá também de que maneira os legados culturais explicam questões interessantes, como o domínio que os asiáticos têm da matemática e o fato de o número de acidentes aéreos ser mais alto nos países onde as pessoas se encontram a uma distância muito grande do poder.","{'autor': 'Malcolm Gladwell', 'isbn': '9788575424483', 'editora': 'Editora Sextante'}"
"RIQUEZA DE TODOS, A",2008,[],,0,,"Em A riqueza de todos, o renomado economista Jeffrey Sachs expõe a perigosa trajetória que a humanidade vem seguindo por não reagir aos desafios mundiais deste milênio. São desafios negligenciados há vários anos e que prometem se agravar ainda mais, à medida que a população global cresce exageradamente e aplica a tecnologia de forma pouco responsável. Neste ensaio alarmante mas sobretudo otimista, Sachs nos mostra que já existem políticas alternativas prontas para serem implementadas - mas será necessária uma cooperação global entre nações, empresas e cidadãos conscientes para que o planeta chegue à metade deste século estabilizado, próspero e ambientalmente sustentável. O crescimento populacional descontrolado é o desafio mais importante e imediato para as nações. Em 2050, Sachs estima que seremos quase 9 bilhões de pessoas, 1,7 bilhão a mais que hoje. Utilizando gráficos e tabelas de institutos de pesquisa mundialmente respeitados, o autor mostra que o planeta terá sérias dificuldades para comportar essa superpopulação e suprir suas necessidades. São aqui ilustrados os conflitos decorrentes do fenômeno da globalização nas grandes metrópoles do mundo, num cenário em que a maior parcela da população será urbana. O agravamento da desertificação e do aquecimento global é analisado em cálculos e estudos coletados pelo autor sobre a ação contínua e irresponsável do homem no meio ambiente. Os mais pobres do mundo, hoje vítimas de epidemias, guerras civis e fome, serão os mais prejudicados pelas futuras ameaças. A riqueza de todos: a construção de uma economia sustentável em um planeta superpovoado, poluído e pobre prova de forma enfática e esclarecedora que resolver estes e outros problemas globais não representa uma despesa exorbitante e desnecessária, mas uma ação capaz de proporcionar mudanças concretas e duradouras. Sachs nos dá uma verdadeira aula de geopolítica internacional, com estratégias que visam o bem-estar de toda a humanidade no século XXI.","{'autor': 'Jeffrey Sachs', 'isbn': '9788520921371', 'editora': 'Nova Fronteira'}"
"História de Ontem, Uma",2001,[],,0,,"""Esta é uma história envolvente, onde as paixões se chocam em meio aos falsos padrões de comportamento, e as aparências ditam as normas. Pressionados e despreparados, os envolvidos reagem pensando que, mantendo as aparências, estarão livre da responsabilidade de suas atitudes. Essa ilusão tem um preço muito alto em dor e sofrimento, cujo círculo vicioso pode durar séculos. Entretanto, a vida, em sua magia espiritual, usa os recursos do tempo e da reencarnação para libertá-las, tornando-as conscientes dos verdadeiros e eternos valores do espírito, sem os quais ninguém conseguirá conquistar a felicidade. Esta é uma história de ontem.""","{'autor': 'Monica de Castro', 'isbn': '8585872713', 'editora': 'Vida e Consciência'}"
Sentindo na Própria Pele,2002,[],,0,,"Através das histórias da escrava Tonha, veremos que o preconceito e o julgar o próximo trazem a nós situações semelhantes, pois só sentindo na própria pele saberemos verdadeiramente respeitar a todos. ""Nada substitui a experiência. Entretanto, quando apressamo-nos em julgar as atitudes alheias segundo nossos próprios padrões, acreditamos estar de posse da verdade. Quanta ilusão! Como saber o que vai no íntimo dos outros? Como avaliar emoções que nunca sentimos? A vaidade faz crer que sabemos a melhor solução para o problema dos outros. A sabedoria da vida tenta mostrar-nos o relativismo do julgamento, trabalhando a inteligência de várias formas, mas se resistirmos, apegados aos próprios conceitos, ela coloca em nossa vida uma situação igual à que criticamos, para que, sentindo na própria pele, possamos compreender esse relativismo e aprender a respeitar os outros como a nós mesmos.""","{'autor': 'Desconhecido', 'isbn': '8585872772', 'editora': 'Vida e Consciência'}"
Com Amor Não se Brinca,2002,[],,0,https://covers.openlibrary.org/b/id/14452714-L.jpg,"Há quem diga que o amor é a base de tudo, porém eles se esquecem que: há os que se anulam em nome do amor e acabam abandonados. Há os que investem tudo acreditando que serão correspondidos e vivem reclamando do egoísmo alheio. Há os que sonham com um amor perfeito, pretendem encaixar o ser amado neste modelo e acabam descobrindo que cada um é como é e não temos poder para mudar ninguém. Há os que confundem paixão com amor. Não percebem que paixão é admirar no outro o que recalca em si; quando a ilusão projetiva desaparece percebemos o ridículo dos nossos atos apaixonados. Há os que confundem apego com amor. São egoístas que esperam do outro exatamente o que não se dão. O amor verdadeiro nunca faz sofrer. Traz alegria, motivação e prazer, agindo sempre com seu poder de harmonizar as relações humanas. Quando ser feliz passa a ser um objetivo sério, logo percebemos que ´Com o Amor não se Brinca´.","{'autor': 'Mônica de Castro', 'isbn': '8585872802', 'editora': 'Vida e Consciência'}"
Até que a Vida os Separe,2003,[],,0,,"Abalada com mais um aborto, Flávia parte para a Europa, onde recebe o bebê Fabrício das mãos de uma judia alemã perseguida pelos nazistas. Um ano depois, nasce Adriano, que é amado pelo pai, enquanto Fabrício é rejeitado por ele.","{'autor': 'Desconhecido', 'isbn': '8585872861', 'editora': 'Vida e Consciência'}"
Greta,2005,"['Espiritismo', 'Ficção espírita', 'Obras psicografadas']",,0,https://covers.openlibrary.org/b/id/12140095-L.jpg,"Um momento de distração da babá, um acidente, uma criança morre. Os pais, inconformados, expulsam a babá. Os fatos se espalham, e ela, esmagada pela culpa, não consegue mais emprego. Então a babá amorosa se transforma em GRETA, uma mulher sensual que tenta sobreviver como pode. A mãe do menino não consegue lidar com a dor da perda; afunda na depressão afastando-se do marido, que procura conforto fora do lar. Por que uma criança saudável, alegre, morre de repente? Como vencer a dor da perda e continuar vivendo? O que fazer quando a motivação vai embora e tudo parece perdido? Só a sabedoria da Vida tem todas essas respostas. Apesar das dificuldades das pessoas envolvidas pelo materialismo do mundo, ela vai conduzindo os fatos, arrancando os véus do desconhecido, revelando o que acontece depois da morte. Quem parecia morto continua vivo em outra dimensão. O ""nunca mais"" é abolido. O que parecia injusto, tem uma razão justa.","{'autor': 'ESPACO VIDA E CONSCIENCIA', 'isbn': '8585872969', 'editora': 'Vida e Consciência'}"
Giselle a Amante Do Inquisidor,2007,[],,0,https://covers.openlibrary.org/b/id/10846329-L.jpg,"Na Espanha, no tempo da Inquisição, quando o poder da igreja era quase absoluto, um inquisidor, em sua luta para salvar as almas do pecado, pratica toda sorte de crimes. Sua amante, uma linda e ambiciosa mulher, une-se a ele, urdindo ciladas para as pessoas a quem ele deseja condenar. Assim tornou-se cúmplice dos crimes que o amante praticava. Encontrou, porém, um homem que a despertou para um grande amor, inspirando-a a mudar de vida. Haveria tempo para ela fazer isso ou seria tarde demais? Você encontrará a resposta na emocionante história de Giselle (a amante do inquisidor).","{'autor': 'Mônica de Castro', 'isbn': '8577220079', 'editora': 'Editora Vida e Consciencia'}"
O aprendiz de Morte,2002,"['Death', 'Discworld (Imaginary place)', 'Fantasy', 'Fiction', 'satire']",,0,https://covers.openlibrary.org/b/id/15065175-L.jpg,"Imagine uma mistura de Monty Python com O Senhor dos Anéis de JRR.Tolkien. Coloque nisso um sucesso muito maior que Harry Potter em solo britânico. Para completar saiba que um em cada dez livros vendidos na Inglaterra é de fantasia. E um em cada dez livros de fantasia é Terry Pratchett. Amigo e mestre dos magos da atual literatura fantástica e extremamente respeitado na Inglaterra, Terry Pratchett é o autor de livros que fazem a cabeça de milhões nas terra britânicas. E agora, chega ao Brasil mais um de seus sucessos. O Aprendiz de Morte é escrito com o melhor do humor - Pratchett é especialista em fazer trocadilhos com nomes - e garante ótimas risadas. No quarto volume de Discworld, Morte, um esqueleto com brilhantes luzes azuis em suas órbitas oculares e dono de uma voz semelhante a "" lajes de chumbo caindo sobre granito"" , oferece a Mortimer, um desajeitado rapaz de interior, uma proposta irrecusável: tornar-se seu aprendiz. Após receber a garantia de que não é preciso estar morto para conseguir esse trabalho, Mort aceita o cargo. Mas os conflitos surgem quando a descoberta do amor passa a interferir nas responsabilidades do garoto. Apaixonado pela princesa Keli e incumbido de matá-la, o rapaz não consegue cumprir sua tarefa. Ao invés de atingir a garota com a foice da morte, Mortimer desfere o golpe mortal contra o assassino, criando assim uma realidade paralela, que entra em conflito com o destino. Terry Pratchett é um escritor divertido e suas obras são um convite agradável à leitura. Não é a toa que o autor possui leitores e fãs em todo o mundo.","{'autor': 'Terry Pratchett', 'isbn': '8587193856', 'editora': 'Conrad'}"
"Estudo em Vermelho, Um",1998,[],,0,https://covers.openlibrary.org/b/id/13201532-L.jpg,"""Um estudo em vermelho"" é a primeira história de Sherlock Holmes e o primeiro livro publicado por Sir Arthur Conan Doyle (1859-1930). Muito menos do que um livro de estreia, esta história nasceu clássica, com seu ritmo vertiginoso de suspense e mistério que consagraria seu protagonista Sherlock Holmes como o mais apaixonante e popular detetive da história da literatura. ""Um estudo em vermelho"" propõe um enigma terrível e invencível para a polícia, que pede auxílio a Holmes: um homem é encontrado morto, sem ferimentos e cercado de manchas de sangue. Em seu rosto uma expressão de pavor. Um caso para Sherlock Holmes e suas fascinantes deduções narrado por seu amigo Dr. Watson, interlocutor sempre atento e não raro maravilhado com a inteligência e talento do detetive. Texto de acordo com a nova ortografia.","{'autor': 'Arthur Conan Doyle', 'isbn': '8525408115', 'editora': 'L&PM'}"
Rei do Inverno (Em Portugues do Brasil),,[],,0,,"O Rei do Inverno conta a mais fiel história de Artur, sem os exageros míticos de outras publicações. A partir de fatos, este romance genial retrata o maior de todos os heróis como um poderoso guerreiro britânico, que luta contra os saxões para manter unida a Britânia, no século V, após a saída dos romanos. ""O livro traz religião, política, traição, tudo o que mais me interessa,"" explica Cornwell, que usa a voz ficcional do soldado raso Derfel para ilustrar a vida de Artur. O valoroso soldado cresce dentro do exército do rei e dentro da narrativa de Corwell até se tornar o melhor amigo e conselheiro de Artur na paz e na guerra.","{'autor': 'Desconhecido', 'isbn': '9788501061140', 'editora': 'Desconhecida'}"
