id,titulo,titulos_alternativos,ano_lancamento
143,Destiny of the Shrine Maiden,"['Kannaduki no Miko', 'Priestesses of the Godless Month', 'Kannazuki no Miko', 'Destiny of Shrine Maiden', 'Destiny of the Shrine Maiden', '神無月の巫女']",2004.0
145,His and Her Circumstances,"['Karekano', 'Kareshi Kanojo no Jijou', 'His and Her Circumstances', '彼氏彼女の事情', 'Entre Elle et Lui', 'Kare Kano']",1998.0
146,This Ugly Yet Beautiful World,"['This Ugly Yet Beautiful World', 'Kono Minikuku mo Utsukushii Sekai', 'この醜くも美しい世界']",2004.0
147,Rumbling Hearts,"['君が望む永遠', 'The Eternity You Wish For', 'Rumbling Hearts', 'Die Ewigkeit, die Du Dir Wünschst', 'Kimi ga Nozomu Eien', 'KimiNozo']",2003.0
149,Loveless,"['Loveless', 'LOVELESS', 'LL']",2005.0
150,Blood+,"['Blood Plus', 'Blood+', 'ブラッドプラス']",2005.0
152,Solty Rei,"['Solty Rei', 'SoltyRei', 'ソルティレイ']",2005.0
153,The Twelve Kingdoms,"['The Twelve Kingdoms', 'Doce Reinos', '十二国記', 'Juuni Kokuki', 'Les 12 Royaumes', '12 Kingdoms', 'Juuni Kokki']",2002.0
154,Shaman King,"['Shaman King', 'シャーマンキング']",2001.0
157,Negima!,"['Magister Negi Magi', 'Mahou Sensei Negima!', 'Magister Negi Magi Negima!', 'Negima! le Maître Magicien', '魔法先生 ネギま！', 'Negima!']",2005.0
158,Maria Watches Over Us,"['Maria-sama ga Miteru', 'マリア様がみてる', 'MariMite', 'María nos mira', 'Maria Watches Over Us', 'La Vierge Marie Vous Regarde', 'The Virgin Mary is Watching You']",2004.0
160,"Now and Then, Here and There","['Now and Then, Here and There', 'Ima', 'Ima, Soko ni Iru Boku', '今、そこにいる僕', 'Soko ni Iru Boku']",1999.0
161,Peace Maker Kurogane,"['PEACE MAKER 鐵', 'PMK', 'Peacemaker Kurogane', 'Peace Maker Kurogane']",2003.0
162,Pita-Ten,"['Pita Ten', 'Pitaten', 'ぴたテン', 'Pita-Ten']",2002.0
163,Power Stone,"['パワーストーン', 'Power Stone']",1999.0
165,RahXephon,"['RahXephon', 'ラーゼフォン']",2002.0
166,Samurai 7,"['Samurai 7', 'Samurai Seven', 'サムライセブン']",2004.0
167,Scrapped Princess,"['Scrapped Princess: La Princesa Abandonada', 'スクラップド・プリンセス', 'Haiki Oujo', 'Scrapped Princess']",2003.0
168,s-CRY-ed,"['s.CRY.ed', 's-CRY-ed', 'Scryed', 'スクライド']",2001.0
169,Lunar Legend Tsukihime,"['Lunar Legend Moon Princess', 'Lunar Legend Tsukihime', '真月譚 月姫', 'True Lunar Chronicle Tsukihime', 'Moon Princess', 'Lunar Legends', 'Tsukihime - Lunar Legend', 'Shingetsutan Tsukihime']",2003.0
170,Slam Dunk,"['Slam Dunk', 'スラムダンク']",1993.0
171,Strange Dawn,"['Strange Dawn', 'ストレンジ・ドーン']",2000.0
173,Tactics,"['Tactics', 'タクティクス']",2004.0
174,Tenjho Tenge,"['天上天下', 'Tenjho Tenge', 'Tenjou Tenge', 'Heaven and Earth', 'Tenjo Tenge']",2004.0
175,Tokyo Underground,"['東京アンダーグラウンド', 'Tokyo Underground']",2002.0
177,Tsubasa RESERVoir CHRoNiCLE,"['Tsubasa: RESERVoir CHRoNiCLE', 'Tsubasa RESERVoir CHRoNiCLE', 'Tsubasa Chronicle', 'ツバサ・クロニクル', 'Tsubasa CHRoNiCLE']",2005.0
178,Ultra Maniac,"['Ultra Maniac', 'ウルトラマニアック']",2003.0
180,Vandread,"['Vandread', 'ヴァンドレッド', 'Vandread First Stage', 'Vandread Stage One']",2000.0
182,The Vision of Escaflowne,"['Tenkuu no Escaflowne', 'The Vision of Escaflowne', '天空のエスカフローネ', 'La Visión de Escaflowne']",1996.0
183,Whistle!,"['ホイッスル！', 'Whistle!']",2002.0
184,Xenosaga The Animation,"['Xenosaga The Animation', 'ゼノサーガ THE ANIMATION']",2005.0
189,Love Hina,"['ラブひな', 'Love Hina']",2000.0
193,Maburaho,"['Maburaho', 'まぶらほ']",2003.0
195,Please Teacher!,"['Onegai Sensei', 'Onegai Teacher', 'おねがい☆ティーチャー', 'Please Teacher!', 'Onegai☆Teacher']",2002.0
196,Please Twins!,"['Please Twins', 'おねがい☆ツインズ', 'Please Twins!', 'Onegai☆Twins']",2003.0
197,Rizelmine,"['りぜるまいん', 'Rizelmine']",2002.0
198,Speed Grapher,"['Speed Grapher', 'スピードグラファー']",2005.0
200,Cheeky Angel,"['Cheeky Angel', '天使な小生意気', 'Tenshi na Konamaiki']",2002.0
202,Wolf's Rain,"[""Wolf's Rain"", 'ウルフズレイン', 'Wolf Rain']",2003.0
205,Samurai Champloo,"['サムライチャンプルー', 'SAMURAI CHAMPLOO', 'Samurai Champloo']",2004.0
206,Record of Lodoss War: Chronicles of the Heroic Knight,"['ロードス島戦記\u3000英雄騎士伝', 'Record of Lodoss War: Chronicles of the Heroic Knight', 'Lodoss-tou Senki: Eiyuu Kishi Den', 'Record of Lodoss War TV', 'Chroniques de la Guerre de Lodoss: La Légende du Chevalier Heroïque', 'Las Crónicas de Lodoss Los Ovas']",1998.0
209,R.O.D -The TV-,"['Read or Dream', 'R.O.D: The TV', 'アール・オー・ディー ザ・ティーヴィー', 'Read or Die TV', 'R.O.D. TV', 'ROD', 'Read or Die: the TV', 'R.O.D -The TV-', 'Read or Die']",2003.0
