id,titulo,ano_lancamento,classificacao
3633,Beast Master,2006.0,12
50217,Kamisama ga Uso wo Tsuku.,2013.0,16
481,Planetes,1999.0,16
10552,Hoshi no Samidare,2005.0,16
58027,Tsurezure Children,2014.0,12
14236,Love So Life,2008.0,12
70,Übel Blatt,2004.0,16
1474,Devilman,1972.0,16
13463,Watashi ni xx Shinasai!,2009.0,12
735,Black Lagoon,2002.0,16
121504,Yubisaki to Renren,2019.0,12
28825,Ookami Shoujo to Kuro Ouji,2011.0,12
110031,Summertime Render,2017.0,12
85,Azumanga Daioh,1999.0,16
36413,Hinamatsuri,2010.0,16
29,Paradise Kiss,1999.0,16
92,Bishoujo Senshi Sailor Moon,1991.0,12
30123,Minamoto-kun Monogatari,2011.0,16
28533,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,2011.0,16
73271,Re:Monster,2014.0,16
60553,Kono Subarashii Sekai ni Shukufuku wo!,2013.0,16
55163,Gakkougurashi!,2012.0,16
9296,Seven Days,2007.0,16
121213,Kimi wa Houkago Insomnia,2019.0,16
146909,SSS-Class Revival Hunter,2020.0,16
96528,Arifureta Shokugyou de Sekai Saikyou,2016.0,16
17394,Hiyokoi,2009.0,12
23,Ranma ½,1987.0,16
142600,Takopii no Genzai,2021.0,12
78065,Koi to Uso,2014.0,16
99969,Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,2016.0,16
44929,Kuzu no Honkai,2012.0,16
148467,Super no Ura de Yani Suu Futari,2022.0,16
132247,A Returner's Magic Should Be Special,2018.0,16
69903,Fairy Tail Zerø,2014.0,16
112115,Act-age,2018.0,12
104829,Sachi-iro no One Room,2016.0,16
122392,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,2018.0,16
141120,The Boxer,2019.0,16
60511,Sousei no Onmyouji,2013.0,12
58007,Shingeki no Kyojin: Kuinaki Sentaku,2013.0,12
928,Pocket Monsters Special,1997.0,0
57765,UQ Holder!,2013.0,12
9982,Usogui,2006.0,16
48881,Darwin's Game,2012.0,12
15578,GE: Good Ending,2009.0,16
13245,Chihayafuru,2007.0,16
115746,Shinai naru Boku e Satsui wo Komete,2018.0,16
122353,Kaette Kudasai! Akutsu-san,2019.0,16
111357,Yancha Gal no Anjou-san,2017.0,16
134744,The Legend of the Northern Blade,2019.0,16
28361,Hideout,2010.0,16
99949,Vigilante: Boku no Hero Academia Illegals,2016.0,12
904,Kozure Ookami,1970.0,16
54779,Watashi ga Motete Dousunda,2013.0,12
57015,Jitsu wa Watashi wa,2013.0,12
14,Rave,1999.0,12
1373,Nijigahara Holograph,2003.0,16
22519,To LOVE-Ru Darkness,2010.0,16
1031,Bokura ga Ita,2002.0,12
155861,Kininatteru Hito ga Otoko ja Nakatta,2023.0,16
24308,No.6,2011.0,12
45143,Kono Oto Tomare!,2012.0,12
139629,JoJo no Kimyou na Bouken Part 9: The JoJoLands,2023.0,16
3116,Black Bird,2006.0,12
48151,World Trigger,2013.0,12
96582,Yuragi-sou no Yuuna-san,2016.0,16
430,Suzuka,2004.0,16
40,Black Cat,2000.0,12
46282,Chikan Otoko,2004.0,16
82427,The New Gate,2014.0,16
3102,Girl Friends,2006.0,16
104538,Kimi no Suizou wo Tabetai,2016.0,16
102165,Tokidoki,2016.0,12
1149,Hokuto no Ken,1983.0,12
118289,Skip to Loafer,2018.0,16
104039,86,2017.0,16
116808,Giji Harem,2019.0,12
15805,Tasogare Otome x Amnesia,2008.0,16
123956,Undead Unluck,2020.0,12
87866,Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki,2015.0,12
67019,Fuuka,2014.0,16
3468,Usagi Drop,2005.0,16
89562,Tsubaki-chou Lonely Planet,2015.0,12
20,Hikaru no Go,1998.0,12
116766,Hige wo Soru. Soshite Joshikousei wo Hirou.,2018.0,12
1859,Natsume Yuujinchou,2003.0,12
7887,Toriko,2008.0,12
108187,Karakai Jouzu no (Moto) Takagi-san,2017.0,16
16688,Ibitsu,2009.0,16
45,Ichigo 100%,2002.0,16
38071,Spirit Circle,2012.0,16
114417,Uzaki-chan wa Asobitai!,2017.0,16
115730,Shadows House,2018.0,16
117840,Ase to Sekken,2018.0,16
93519,Gleipnir,2015.0,16
121433,"Haite Kudasai, Takamine-san",2019.0,16
1926,Nazo no Kanojo X,2004.0,16
4514,"Kyou, Koi wo Hajimemasu",2007.0,12
117332,Suki na Ko ga Megane wo Wasureta,2018.0,12
63781,Boku Girl,2013.0,16
80119,Kobayashi-san Chi no Maid Dragon,2013.0,16
1501,Sundome,2006.0,16
16794,L♥DK,2009.0,12
1162,Bitter Virgin,2005.0,16
118646,Why Raeliana Ended Up at the Duke's Mansion,2017.0,16
17904,Kuragehime,2008.0,16
111403,Pumpkin Night,2016.0,16
1534,Zetman,2002.0,16
98938,Hajimete no Gal,2015.0,16
8144,Sora no Otoshimono,2007.0,16
26769,Bokura wa Minna Kawai-sou,2010.0,16
103694,Gal Gohan,2016.0,16
11896,Reimei no Arcana,2009.0,12
24822,Trinity Seven: 7-nin no Mashotsukai,2010.0,16
114701,Fairy Tail: 100 Years Quest,2018.0,16
118858,Dai Dark,2019.0,16
6520,Hana to Akuma,2007.0,12
25096,Gin no Saji,2011.0,12
148054,Ruri Dragon,2022.0,12
17051,Barakamon,2008.0,12
146966,Teenage Mercenary,2020.0,16
3537,Yankee-kun to Megane-chan,2006.0,12
5664,Nurarihyon no Mago,2008.0,12
111512,Darling in the FranXX,2018.0,16
320,Gakuen Alice,2002.0,12
90117,Tsuki ga Michibiku Isekai Douchuu,2015.0,16
1023,Koukaku Kidoutai: The Ghost in the Shell,1989.0,16
705,Shingetsutan Tsukihime,2003.0,16
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,2020.0,16
133641,Villains Are Destined to Die,2020.0,16
3082,Nichijou,2006.0,12
77637,Helck,2014.0,16
616,Mx0,2006.0,12
123602,Kakkou no Iinazuke,2020.0,12
113010,Bakemonogatari,2018.0,12
54,Yu☆Gi☆Oh!,1996.0,12
8341,Code:Breaker,2008.0,12
81,Aria,2002.0,12
1271,Special A,2003.0,12
121597,Dosanko Gal wa Namara Menkoi,2019.0,12
348,Genshiken,2002.0,16
703,Trigun,1995.0,12
57795,Shingeki no Kyojin: Before the Fall,2013.0,12
111745,Tengoku Daimakyou,2018.0,16
5627,Bloody Monday,2007.0,12
9699,Doukyuusei,2006.0,16
24457,Mahou Shoujo Madoka★Magica,2011.0,16
54897,Orange Marmalade,2011.0,16
39291,Nijiiro Days,2011.0,12
48347,Ballroom e Youkoso,2011.0,12
28226,Bonnouji,2008.0,16
13801,Drifters,2009.0,16
40175,Mahou Shoujo of the End,2012.0,16
17915,Judge,2010.0,16
102256,Ao Ashi,2015.0,16
5911,Freezing,2007.0,16
14483,Uchuu Kyoudai,2007.0,16
13290,Ningen Shikkaku,2009.0,16
136979,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,2021.0,12
100323,Yuukoku no Moriarty,2016.0,12
101396,Sasaki to Miyano,2016.0,16
39625,Kagerou Daze,2012.0,16
126479,Mikkakan no Koufuku,2013.0,16
22044,Iris Zero,2009.0,16
3872,Kiss yori mo Hayaku,2007.0,12
7482,Rainbow: Nisha Rokubou no Shichinin,2002.0,16
109234,Jahy-sama wa Kujikenai!,2017.0,12
17,Kareshi Kanojo no Jijou,1995.0,12
118625,Sasayaku You ni Koi wo Utau,2019.0,16
4368,Toradora!,2007.0,16
124940,Kanojo mo Kanojo,2020.0,12
66685,Kekkon Yubiwa Monogatari,2014.0,16
57239,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2013.0,16
114548,Edens Zero,2018.0,12
88639,"Ohayou, Ibarahime",2014.0,12
101,Shugo Chara!,2005.0,12
100274,Nande Koko ni Sensei ga!?,2015.0,16
116157,Otome Game Sekai wa Mob ni Kibishii Sekai desu,2018.0,12
3992,Jigokusei Remina,2004.0,16
3083,Suzumiya Haruhi Series,2003.0,16
85802,Ookami Shounen wa Kyou mo Uso wo Kasaneru,2014.0,16
113626,Imamade Ichido mo Onnaatsukai sareta Koto ga Nai Onna Kishi wo Onnaatsukai suru Manga,2018.0,16
8,Full Moon wo Sagashite,2001.0,12
121426,Yozakura-san Chi no Daisakusen,2019.0,12
96050,"Kuzumi-kun, Kuuki Yometemasu ka?",2015.0,12
128093,Kuchi ga Saketemo Kimi ni wa,2020.0,12
147392,I'm the Max-Level Newbie,2021.0,16
7749,Oresama Teacher,2007.0,12
147171,Eleceed,2018.0,16
117080,Sensei wa Koi wo Oshierarenai,2018.0,12
97760,Ane Naru Mono,2016.0,16
727,Shamo,1998.0,16
36099,Green Blood,2011.0,16
123812,My Broken Mariko,2019.0,16
118026,"Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru",2019.0,16
36723,Hataraku Maou-sama!,2011.0,16
160786,Boruto: Two Blue Vortex,2023.0,12
11327,One Outs,1998.0,16
113560,Senpai ga Uzai Kouhai no Hanashi,2018.0,16
13748,Defense Devil,2009.0,16
147863,Nano Machine,2020.0,16
119216,Soredemo Ayumu wa Yosetekuru,2019.0,12
71,Zettai Kareshi.,2003.0,12
57,Hanazakari no Kimitachi e,1996.0,12
88600,Koi wa Ameagari no You ni,2014.0,16
443,Mars,1996.0,12
65685,Real Account,2014.0,12
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,2006.0,16
648,Dogs: Bullets & Carnage,2005.0,16
13001,K-On!,2007.0,16
1461,Sanctuary,1990.0,16
48025,Magi: Sinbad no Bouken,2013.0,12
10270,Karneval,2007.0,16
130216,Tomb Raider King,2019.0,16
36933,Ore Monogatari!!,2011.0,12
38105,Kase-san Series,2010.0,16
128,Petshop of Horrors,1995.0,16
103939,Aharen-san wa Hakarenai,2017.0,12
37755,Saiki Kusuo no Ψ-nan,2012.0,12
72949,Harumatsu Bokura,2014.0,12
736,Shin Angyo Onshi,2001.0,16
12888,Hapi Mari: Happy Marriage!?,2009.0,16
17207,Inu x Boku SS,2009.0,12
670,Bokurano,2003.0,16
869,Konjiki no Gash!!,2001.0,12
873,Sekirei,2004.0,16
129370,Burn the Witch,2020.0,12
13723,Sidonia no Kishi,2009.0,16
387,Karin,2003.0,12
109229,Raise wa Tanin ga Ii,2017.0,16
25409,High School DxD,2008.0,16
6164,My Girl,2006.0,16
55377,Kasane,2013.0,16
101119,Origin,2016.0,16
141583,Ayashimon,2021.0,12
32,666 Satan,2001.0,12
3749,Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch,2007.0,16
1349,07-Ghost,2005.0,16
146878,Return of the Blossoming Blade,2021.0,16
117078,Hitomi-chan wa Hitomishiri,2018.0,16
48649,Sakamoto desu ga?,2011.0,16
111767,Do Chokkyuu Kareshi x Kanojo,2017.0,12
1802,Cat Street,2004.0,12
1414,SKET Dance,2007.0,12
103144,Tensei shitara Ken deshita,2016.0,16
14710,Ane Doki,2009.0,16
84255,Hidamari ga Kikoeru,2013.0,16
93699,Innocent Rouge,2015.0,16
34377,Gokukoku no Brynhildr,2012.0,16
99377,Kenja no Mago,2016.0,16
144034,Akane-banashi,2022.0,12
27989,Maga-Tsuki,2011.0,16
77827,Watari-kun no xx ga Houkai Sunzen,2014.0,16
157888,Revenge of the Baskerville Bloodhound,2023.0,16
75991,Hare-Kon.,2014.0,16
25250,Voynich Hotel,2006.0,16
91714,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,2015.0,16
2923,Koko ni Iru yo!,2007.0,12
154587,Pick Me Up,2022.0,16
447,Oretama,2006.0,16
3614,Subarashii Sekai,2002.0,16
147217,The World After the Fall,2022.0,16
103786,Black Torch,2016.0,12
105430,Senryuu Shoujo,2016.0,12
93695,Ganbare! Nakamura-kun!!,2014.0,16
146949,The Swordmaster's Son,2022.0,16
113958,Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic,2018.0,16
110029,Shinigami Bocchan to Kuro Maid,2017.0,16
818,I''s,1997.0,16
375,Initial D,1995.0,16
114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",2017.0,16
108032,My Home Hero,2017.0,16
14582,Gamaran,2009.0,12
661,Sayonara Zetsubou Sensei,2005.0,12
12854,Toaru Majutsu no Index,2004.0,16
58141,Machida-kun no Sekai,2015.0,12
1131,Freesia,2001.0,16
77815,"Tokyo Ghoul: ""Jack""",2013.0,16
23419,Byousoku 5 Centimeter,2010.0,16
147172,Doom Breaker,2021.0,16
56165,Akame ga Kill! Zero,2013.0,16
28393,Sakamichi no Apollon,2007.0,16
704,Trigun Maximum,1997.0,16
109339,Saihate no Paladin,2017.0,16
958,Goth,2002.0,16
104076,Kemono Jihen,2016.0,12
1896,Akuma to Love Song,2006.0,12
54817,Kanojo ni Naru Hi,2013.0,12
8456,½ Prince,2007.0,12
696,Hayate no Gotoku!,2004.0,12
172429,Solo Leveling: Ragnarok,2024.0,16
111621,Pashiri na Boku to Koisuru Banchou-san,2017.0,16
14721,D-Frag!,2008.0,16
89217,"Omoi, Omoware, Furi, Furare",2015.0,12
105,Kekkaishi,2004.0,12
1102,Ga-Rei,2005.0,12
98436,Youjo Senki,2016.0,16
1409,Biomega,2004.0,16
32779,Denpa Kyoushi,2011.0,12
119152,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,2019.0,16
42001,Song of the Long March,2011.0,16
128463,Uruwashi no Yoi no Tsuki,2020.0,12
22986,Ran to Haiiro no Sekai,2008.0,16
49361,Dragons Rioting,2012.0,16
154692,The Infinite Mage,2022.0,16
119072,Here U Are,2017.0,16
118803,Fetiple,2018.0,16
62547,Yugami-kun ni wa Tomodachi ga Inai,2012.0,12
139164,Viral Hit,2019.0,16
106810,Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,2017.0,16
102997,"Saotome Senshu, Hitakakusu",2016.0,16
149334,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,2022.0,16
1400,Abara,2005.0,16
70399,Seishun Buta Yarou Series,2014.0,16
98930,Violet Evergarden,2015.0,16
11434,Jisatsutou,2008.0,16
5113,Witch Hunter,2006.0,16
83021,Death March kara Hajimaru Isekai Kyousoukyoku,2014.0,16
101711,Mousou Telepathy,2016.0,16
119082,Koori Zokusei Danshi to Cool na Douryou Joshi,2019.0,16
585,Hourou Musuko,2002.0,16
106809,Koko wa Ima kara Rinri desu.,2016.0,16
1456,Shi ga Futari wo Wakatsu made,2005.0,16
160,School Rumble,2002.0,12
729,Emma,2001.0,16
34127,Mahouka Koukou no Rettousei,2011.0,16
7776,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,2007.0,16
125717,Okaeri Alice,2020.0,12
110050,Boku no Kanojo wa Saikou desu!,2017.0,12
70061,Rakudai Kishi no Cavalry,2014.0,16
740,Tajuu Jinkaku Tantei Psycho,1996.0,16
87813,Takane to Hana,2014.0,12
73,Tenjou Tenge,1997.0,16
94,D.N.Angel,1997.0,12
113169,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",2018.0,16
119392,Boy Meets Maria,2017.0,16
31185,14-sai no Koi,2010.0,16
127436,Tougen Anki,2020.0,12
